# According to https://scriptures.nephi.org/ this is licensed under public domain
ai.sql.MormonScriptures,seed
volumeId, bookId, chapterId, verseId, volumeTitle, bookTitle, volumeLongTitle, bookLongTitle, volumeSubtitle, bookSubtitle, volumeShortTitle, bookShortTitle, volumeLdsUrl, bookLdsUrl, chapterNumber, verseNumber, scriptureText, verseTitle, verseShortTitle
1,19,487,14023,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,1,"I will praise thee, O Lord, with my whole heart; I will shew forth all thy marvellous works.","Psalms 9:1","Ps. 9:1"
1,19,487,14024,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,2,"I will be glad and rejoice in thee: I will sing praise to thy name, O thou most High.","Psalms 9:2","Ps. 9:2"
1,19,487,14025,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,3,"When mine enemies are turned back, they shall fall and perish at thy presence.","Psalms 9:3","Ps. 9:3"
1,19,487,14026,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,4,"For thou hast maintained my right and my cause; thou satest in the throne judging right.","Psalms 9:4","Ps. 9:4"
1,19,487,14027,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,5,"Thou hast rebuked the heathen, thou hast destroyed the wicked, thou hast put out their name for ever and ever.","Psalms 9:5","Ps. 9:5"
1,19,487,14028,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,6,"O thou enemy, destructions are come to a perpetual end: and thou hast destroyed cities; their memorial is perished with them.","Psalms 9:6","Ps. 9:6"
1,19,487,14029,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,7,"But the Lord shall endure for ever: he hath prepared his throne for judgment.","Psalms 9:7","Ps. 9:7"
1,19,487,14030,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,8,"And he shall judge the world in righteousness, he shall minister judgment to the people in uprightness.","Psalms 9:8","Ps. 9:8"
1,19,487,14031,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,9,"The Lord also will be a refuge for the oppressed, a refuge in times of trouble.","Psalms 9:9","Ps. 9:9"
1,19,487,14032,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,10,"And they that know thy name will put their trust in thee: for thou, Lord, hast not forsaken them that seek thee.","Psalms 9:10","Ps. 9:10"
1,19,487,14033,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,11,"Sing praises to the Lord, which dwelleth in Zion: declare among the people his doings.","Psalms 9:11","Ps. 9:11"
1,19,487,14034,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,12,"When he maketh inquisition for blood, he remembereth them: he forgetteth not the cry of the humble.","Psalms 9:12","Ps. 9:12"
1,19,487,14035,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,13,"Have mercy upon me, O Lord; consider my trouble which I suffer of them that hate me, thou that liftest me up from the gates of death:","Psalms 9:13","Ps. 9:13"
